name,sex,age,height,weight,team,year,season,sport,event,medal,country
Milan Aleksi,M,30.0,193.0,96.0,Serbia,2016.0,Summer,Water Polo,Water Polo Men's Water Polo,Gold,Serbia
Alex Sandro Lobo Silva,M,21.0,177.0,60.0,Brazil,2012.0,Summer,Football,Football Men's Football,Silver,Brazil
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,18.0,179.0,71.0,Brazil,2008.0,Summer,Football,Football Men's Football,Bronze,Brazil
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,22.0,179.0,71.0,Brazil,2012.0,Summer,Football,Football Men's Football,Silver,Brazil
Abdoul Razak Issoufou Alfaga,M,21.0,207.0,90.0,Niger,2016.0,Summer,Taekwondo,Taekwondo Men's Heavyweight,Silver,Nigeria
Hans Daniel Alfredsson,M,33.0,182.0,92.0,Sweden,2006.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold,Sweden
Hans Daniel Alfredsson,M,41.0,182.0,92.0,Sweden,2014.0,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,Sweden
Sara Anneli Algotsson Ostholt,F,37.0,163.0,56.0,Sweden,2012.0,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,Sweden
Nia Sifaatihii Ali,F,27.0,170.0,65.0,United States,2016.0,Summer,Athletics,Athletics Women's 100 metres Hurdles,Silver,United States
Sergey Gennadyevich Alifirenko,M,45.0,168.0,72.0,Russia,2004.0,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,Russia
Mirko Alilovi,M,26.0,200.0,110.0,Croatia,2012.0,Summer,Handball,Handball Men's Handball,Bronze,Croatia
Aline Pellegrino,F,22.0,180.0,71.0,Brazil,2004.0,Summer,Football,Football Women's Football,Silver,Brazil
Aleksey Aleksandrovich Alipov,M,29.0,175.0,80.0,Russia,2004.0,Summer,Shooting,Shooting Men's Trap,Gold,Russia
Aleksey Aleksandrovich Alipov,M,32.0,175.0,80.0,Russia,2008.0,Summer,Shooting,Shooting Men's Trap,Bronze,Russia
Alison Conte Cerutti,M,26.0,203.0,106.0,Brazil-1,2012.0,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,Brazil
Alison Conte Cerutti,M,30.0,203.0,106.0,Brazil-1,2016.0,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold,Brazil
Deji Aliu,M,28.0,187.0,75.0,Nigeria,2004.0,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,Nigeria
Margarita Sergeyevna Aliychuk,F,17.0,174.0,48.0,Russia,2008.0,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold,Russia
Kimia Alizadeh Zenoorin,F,18.0,185.0,57.0,Iran,2016.0,Summer,Taekwondo,Taekwondo Women's Featherweight,Bronze,Iran
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34.0,163.0,53.0,Austria,2004.0,Summer,Triathlon,Triathlon Women's Olympic Distance,Gold,Austria
Nathon Allen,M,20.0,178.0,73.0,Jamaica,2016.0,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,Jamaica
Wyatt Allen,M,25.0,193.0,98.0,United States,2004.0,Summer,Rowing,Rowing Men's Coxed Eights,Gold,United States
Wyatt Allen,M,29.0,193.0,98.0,United States,2008.0,Summer,Rowing,Rowing Men's Coxed Eights,Bronze,United States
"Sandra Louise ""Sandy"" Allen-Lewis",F,25.0,170.0,59.0,Australia,2004.0,Summer,Softball,Softball Women's Softball,Silver,Australia
"Sandra Louise ""Sandy"" Allen-Lewis",F,29.0,170.0,59.0,Australia,2008.0,Summer,Softball,Softball Women's Softball,Bronze,Australia
Ade Franci Alleyne-Forte,M,23.0,180.0,73.0,Trinidad and Tobago,2012.0,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Trinidad and Tobago
Carmela Allucci,F,34.0,167.0,60.0,Italy,2004.0,Summer,Water Polo,Water Polo Women's Water Polo,Gold,Italy
"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,29.0,170.0,69.0,Sweden,2002.0,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,Sweden
Jessica Alonso Bernardo,F,28.0,172.0,65.0,Spain,2012.0,Summer,Handball,Handball Women's Handball,Bronze,Spain
